id,u_x_real,T_ux_real,c_real,d_bx_real,delta_x,delta_y,N_p,u_x_awcc,u_rms_x_awcc,T_ux_awcc,n_awcc
4250,49.920694239753615,0.0101358954803704,0.1242083309594594,0.0009973981600974,0.0079322248485133,0.0001055435757425,14,49.92608326192847,0.5350755218411374,0.0107173542741968,190627.0
4251,35.24956165683161,0.0450862868571822,0.3276212607374984,0.0103295373475794,0.0091264126465798,0.0001774074677658,5,35.316210270084305,1.5818849909332828,0.044792036824893,99516.0
4252,18.42194474739779,0.1537249097258723,0.1277117720569396,0.0106143078328259,0.0055926775767745,0.0015415958772147,8,18.734132784608825,2.9434735254279465,0.1571182162136792,11351.0
4253,39.60428623617539,0.2398096488127971,0.3590099158925673,0.0085117066726306,0.0072478069789211,0.0018182305504145,18,42.31556152850148,8.589407171397776,0.2029845962368339,18945.0
4254,38.353930116028586,0.2990837928013233,0.282962587294302,0.0011501403452625,0.0015980016785118,0.001552133920931,18,14.67153744298012,7.383915167099469,0.5032816223791492,62.0
4255,2.871062681297853,0.2101035491956265,0.0151034184761606,0.0043225799442212,0.0048717580630689,0.0013317936336845,18,2.918627117088017,0.4723692889232252,0.1618463989995814,97.0
4256,17.740563152566896,0.0554871628916007,0.2333431504586174,0.0097478010267965,0.008668073820348,0.0005444516708067,15,17.80255610680924,0.9525353008904192,0.0535055356756374,12701.0
4257,12.561392067745082,0.1920674988873304,0.1185003342062836,0.0100067847138038,0.0042993431991119,0.0017947933440601,9,12.942965914416812,2.511939441106063,0.1940775752417058,6520.0
4258,11.607778405705329,0.153626154420381,0.0801313627212984,0.0155744090036209,0.0036403219991351,0.0018643539898348,7,11.806348213129992,1.904702571897084,0.1613286799197434,3798.0
4259,30.57704189054072,0.2613979620442053,0.1695542783248529,0.0144758157940512,0.0092041146242828,0.0018416495889014,13,32.49161268130789,7.674893147265745,0.2362115178013628,11211.0
4260,10.332793058516136,0.1043556237274323,0.3203297591867574,0.0021795068977129,0.0080607003756964,0.000778084599629,6,10.550875708881334,1.0223815954804027,0.0969001648479092,4047.0
4261,32.63943378475969,0.1887093031568138,0.0278025437269212,0.0027101531012889,0.0019596351473892,0.0019797652275386,19,,,,0.0
4262,24.06380959828716,0.2978536984158356,0.1590077910022091,0.0083557053873036,0.0052103437239884,0.0002122411847188,10,26.0544966495454,5.175130981103379,0.1986271717589937,19289.0
4263,12.285646523567896,0.1751889085116227,0.1426655755152167,0.0164438769000994,0.0015380126134009,0.0008306284796555,8,12.605662753453824,2.198470940156726,0.174403439403007,5996.0
4264,42.92377804940607,0.2502921162013634,0.2591099795002837,0.0103936571705882,0.0025807051744418,0.0005592526953657,9,44.79128628575046,9.902702070547916,0.2210854586173892,51875.0
4265,21.90581180798162,0.0846797864917679,0.1075858766404707,0.0023064110231066,0.0058232984277799,5.403683607897136e-05,12,22.10567607176346,1.737640391095528,0.078606073184755,34944.0
4266,30.54786536637839,0.0522694124009724,0.2455045600626348,0.0108588609404892,0.0043228595324456,0.0019098419881063,13,30.737361597481065,2.29829376734769,0.0747719923864914,22110.0
